School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 6-8 ELA,2023-8538,Mid-Year Vacancy,Rejected,6th/7th Grade ELA Teacher - IDEA Sports Park College Prep (Immediate Opening),,,IDEA Sports Park College Prep,"Lower Rio Grande Valley, TX",Full-Time,10/25/2023,,102100
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2022-4496,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Round Rock Tech Academy (24-25),1,1,IDEA Round Rock Tech Academy,"Greater Austin, TX",Full-Time,2/26/2024,,"95005,102653"
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-5901,Annual Vacancy,Rejected,1st grade ELA Teacher - IDEA Walzem Academy (Immediate Opening),1,1,IDEA Walzem Academy,"San Antonio, TX",Full-Time,7/11/2023,,93054
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2022-5919,Annual Vacancy,Rejected,Special Education Teacher- IDEA Innovation Academy (24-25),1,1,IDEA Innovation Academy,Southern Louisiana,Full-Time,7/26/2023,,1666
2023-2024,Instructional,Teaching - Other,Teacher (College Prep): Interventionist,2022-6197,Annual Vacancy,Rejected,Interventionist Teacher- IDEA Pflugerville College Prep (Immediate Opening),1,1,IDEA Pflugerville College Prep,"Greater Austin, TX",Full-Time,7/18/2023,,
2024-2025,Instructional,CTE Role,CTE Campus Role,2023-10058,Annual Vacancy,Rejected,CTE Legal Studies Teacher - IDEA Parmer Park College Prep (24-25),1,1,IDEA Parmer Park College Prep,"Greater Austin, TX",Full-Time,2/5/2024,,
2024-2025,Instructional,Para-Professional - General Education,Co-Teacher: Academy,2023-10180,Annual Vacancy,Rejected,Kindergarten Co-Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,2/14/2024,,94738
2024-2025,Instructional,Teaching - Math,Teacher: 1-5 Math,2023-10181,Annual Vacancy,Rejected,2nd Grade Math/Science Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,2/15/2024,,98116
2024-2025,Instructional,Para-Professional - Special Education,Co-Teacher (Academy): SpEd,2023-10198,Annual Vacancy,Rejected,Special Education Co-Teacher- IDEA Kyle Academy (24-25),1,1,IDEA Kyle Academy,"Greater Austin, TX",Full-Time,2/23/2024,,101600
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-10898,Mid-Year Vacancy,Rejected,Special Education Teacher - IDEA Hidden Meadow College Prep (Immediate Opening),1,1,IDEA Hidden Meadow College Prep,"San Antonio, TX",Full-Time,4/5/2024,,103321
2024-2025,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2023-11104,Annual Vacancy,Rejected,4th grade Science/Social Studies Teacher - IDEA Hidden Meadow Academy (24-25),1,1,IDEA Hidden Meadow Academy,"San Antonio, TX",Full-Time,4/15/2024,,100236
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-7801,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Pflugerville College Prep (24-25),1,1,IDEA Pflugerville College Prep,"Greater Austin, TX",Full-Time,9/14/2023,,102636
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-7809,Annual Vacancy,Rejected,Special Education RISE Teacher - IDEA Bluff Springs Academy (24-25),1,1,IDEA Bluff Springs Academy,"Greater Austin, TX",Full-Time,9/14/2023,,92730
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-7852,Annual Vacancy,Rejected,Special Education Teacher - IDEA Round Rock Tech Academy (24-25),1,1,IDEA Round Rock Tech Academy,"Greater Austin, TX",Full-Time,9/14/2023,,101855
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-7964,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Rundberg College Prep (24-25),1,1,IDEA Rundberg College Prep,"Greater Austin, TX",Full-Time,10/11/2023,,100540
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-7965,Annual Vacancy,Rejected,Special Education Teacher- IDEA Rundberg College Prep (24-25),1,1,IDEA Rundberg College Prep,"Greater Austin, TX",Full-Time,9/21/2023,,92731
2024-2025,Instructional,Administrative Support,Tutor,2023-8080,Annual Vacancy,Rejected,Tutor - IDEA Riverview College PRep (24-25),1,1,IDEA Riverview College Prep,"Lower Rio Grande Valley, TX",Part-Time,9/26/2023,,89658
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-9354,Annual Vacancy,Rejected,Special Education Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,12/5/2023,,91370
2024-2025,Instructional,Administrative Support,Tutor,2023-9469,Annual Vacancy,Rejected,Tutor - IDEA Riverview College PRep (24-25),1,1,IDEA Riverview College Prep,"Lower Rio Grande Valley, TX",Part-Time,12/11/2023,,89656
2024-2025,Instructional,Para-Professional - General Education,Co-Teacher: Academy,2023-9779,Annual Vacancy,Rejected,1st Grade Co-Teacher - IDEA Parmer Park Academy (24-25),1,1,IDEA Parmer Park Academy,"Greater Austin, TX",Full-Time,1/19/2024,,88312
